MINERAL_DEPOSIT_NO,DEPOSIT_NAME,MINERAL_CODE,MINERAL,MINERAL_TYPE,RELATIVE_ABUNDANCE_CODE,RELATIVE_ABUNDANCE_DESC,WEATHERING_PRODUCT,FORM_DISTRIBUTION
2106,OLD KNOLL,CCP,Chalcopyrite,ORE,TRACE,1-4 % by volume,N,
2106,OLD KNOLL,CL,Chlorite,GANGUE,TRACE,1-4 % by volume,N,
2106,OLD KNOLL,CUP,Cuprite,ORE,TRACE,1-4 % by volume,Y,
2106,OLD KNOLL,IO,Iron oxide (non specific),GANGUE,MAJOR,30- 70 % by volume,Y,
2106,OLD KNOLL,KAO,Kaolinite,GANGUE,MINOR,5-29 % by volume,Y,
2106,OLD KNOLL,MAL,Malachite,ORE,MINOR,5-29 % by volume,Y,As Aggregates; As Coating/film; Disseminated; Other; Veinlets
2106,OLD KNOLL,MHEM,Hematite  Micaceous,GANGUE,TRACE,1-4 % by volume,N,Veinlets
2106,OLD KNOLL,PY,Pyrite,GANGUE,TRACE,1-4 % by volume,N,
2106,OLD KNOLL,QZ,Quartz,GANGUE,MINOR,5-29 % by volume,N,Crystalline; Other; Veinlets
2106,OLD KNOLL,SERC,Sericite,GANGUE,TRACE,1-4 % by volume,N,
2106,OLD KNOLL,TOUR,Tourmaline,GANGUE,TRACE,1-4 % by volume,N,
2107,JUBILEE,AU,Gold,ORE,RARE,<1 % by volume,N,
2107,JUBILEE,AZ,Azurite,ORE,TRACE,1-4 % by volume,Y,As Aggregates; As Coating/film
2107,JUBILEE,BI,Bismuth,GANGUE,RARE,<1 % by volume,N,
2107,JUBILEE,HEM,Hematite,GANGUE,TRACE,1-4 % by volume,Y,
2107,JUBILEE,LIM,Limonite,GANGUE,TRACE,1-4 % by volume,Y,
2107,JUBILEE,MAL,Malachite,ORE,TRACE,1-4 % by volume,Y,As Aggregates; As Coating/film; Other
2107,JUBILEE,QZ,Quartz,GANGUE,MAJOR,30- 70 % by volume,N,
2114,BLACK QUEEN EAST,AZ,Azurite,ORE,,,Y,Banded/laminated; Disseminated
2114,BLACK QUEEN EAST,CC,Chalcocite,ORE,,,U,Banded/laminated; Disseminated
2114,BLACK QUEEN EAST,CCP,Chalcopyrite,ORE,,,U,
2114,BLACK QUEEN EAST,CUP,Cuprite,ORE,,,Y,Banded/laminated; Disseminated
2114,BLACK QUEEN EAST,HEM,Hematite,GANGUE,,,Y,
